Latitude,Longitude,Elevation
51.69202180,5.054260250,3.0
51.69200000,5.054010000,2.0
51.69164000,5.054070000,3.0
51.69156000,5.054030000,2.0
51.69158000,5.054410000,4.0
51.69156000,5.054580000,4.0
51.69167000,5.056570000,7.0
51.69167000,5.056800000,7.0
51.69182000,5.057980000,6.0
51.69189000,5.058220000,5.0
51.69201000,5.059210000,4.0
51.69206000,5.059860000,3.0
51.69207000,5.060210000,3.0
51.69346000,5.060000000,5.0
51.69351000,5.060140000,5.0
51.69352000,5.060220000,4.0
51.69351000,5.060370000,4.0
51.69329000,5.060530000,3.0
51.69303000,5.060660000,4.0
51.69230000,5.060910000,4.0
51.69095000,5.061320000,5.0
51.69005000,5.061490000,4.0
51.69015000,5.062790000,4.0
51.68887000,5.063040000,6.0
51.68733000,5.063250000,7.0
51.68441000,5.063740000,7.0
51.68444000,5.064050000,8.0
51.68420000,5.064150000,8.0
51.68420000,5.064180000,7.0
51.68418000,5.064230000,7.0
51.68412000,5.064240000,7.0
51.68433000,5.065930000,3.0
51.68458000,5.067630000,5.0
51.67624000,5.069040000,6.0
51.67396000,5.069380000,6.0
51.67282000,5.069600000,6.0
51.67291000,5.070870000,5.0
51.67296000,5.071350000,5.0
51.67245000,5.071810000,5.0
51.67239000,5.071990000,5.0
51.67237000,5.072170000,5.0
51.67237000,5.072410000,5.0
51.67240000,5.072770000,5.0
51.67250000,5.073260000,5.0
51.67260000,5.074880000,5.0
51.67186000,5.074980000,6.0
51.67119000,5.075130000,5.0
51.67126000,5.075950000,6.0
51.67129000,5.076050000,5.0
51.67130000,5.076280000,5.0
51.67129000,5.076390000,5.0
51.67141000,5.077860000,6.0
51.67142000,5.078040000,6.0
51.67140000,5.078110000,6.0
51.67130000,5.078190000,6.0
51.67126000,5.078260000,6.0
51.67114000,5.078280000,6.0
51.67107000,5.078280000,6.0
51.67063000,5.078100000,4.0
51.67039000,5.077930000,3.0
51.66969000,5.077200000,5.0
51.66946000,5.077010000,5.0
51.66929000,5.076910000,5.0
51.66901000,5.076790000,5.0
51.66789000,5.076460000,7.0
51.66774000,5.076390000,7.0
51.66768000,5.076270000,7.0
51.66750000,5.076120000,6.0
51.66705000,5.075880000,6.0
51.66671000,5.075730000,8.0
51.66513000,5.075250000,7.0
51.66497000,5.075150000,7.0
51.66473000,5.074880000,6.0
51.66415000,5.073580000,6.0
51.66385000,5.073830000,6.0
51.66362000,5.073960000,6.0
51.66344000,5.073960000,5.0
51.66337000,5.073990000,5.0
51.66166000,5.072740000,6.0
51.65883000,5.071610000,10.0
51.65809000,5.071390000,13.0
51.65709000,5.071280000,16.0
51.65606000,5.071230000,16.0
51.65461000,5.071400000,13.0
51.65189000,5.071450000,14.0
51.65133000,5.071490000,13.0
51.64699000,5.072030000,13.0
51.64434000,5.072470000,20.0
51.64360000,5.072920000,19.0
51.64311000,5.073350000,17.0
51.64265000,5.073850000,19.0
51.64208000,5.074330000,18.0
51.64122000,5.074720000,21.0
51.64083000,5.074870000,20.0
51.64011000,5.075010000,19.0
51.63845000,5.075130000,21.0
51.63776000,5.075150000,20.0
51.63701000,5.075020000,20.0
51.63460000,5.075090000,22.0
51.63221000,5.075700000,14.0
51.63153000,5.075840000,16.0
51.63109000,5.075960000,17.0
51.63082000,5.075960000,17.0
51.63061000,5.075900000,16.0
51.62994000,5.075420000,14.0
51.62922000,5.074970000,14.0
51.62823000,5.074580000,13.0
51.62760000,5.074360000,14.0
51.62744000,5.074250000,13.0
51.62733000,5.074140000,13.0
51.62713000,5.073830000,12.0
51.62709000,5.073800000,12.0
51.62696000,5.073780000,12.0
51.62673000,5.072690000,16.0
51.62627000,5.072900000,16.0
51.62596000,5.072950000,17.0
51.62527000,5.073220000,20.0
51.62454000,5.073620000,20.0
51.62382000,5.074040000,22.0
51.62361000,5.074120000,22.0
51.62031000,5.074120000,13.0
51.62021000,5.074060000,14.0
51.62018000,5.073940000,14.0
51.62019000,5.073890000,14.0
51.62004000,5.073840000,13.0
51.62000000,5.073960000,14.0
51.61986000,5.074090000,14.0
51.61964000,5.074030000,14.0
51.61901000,5.074020000,14.0
51.61840000,5.074130000,15.0
51.61594000,5.074090000,21.0
51.61523000,5.074110000,21.0
51.61313000,5.074120000,18.0
51.61036000,5.074030000,19.0
51.60952000,5.074070000,18.0
51.60731000,5.074090000,11.0
51.60366000,5.074020000,16.0
51.60284000,5.074150000,15.0
51.60212000,5.074390000,15.0
51.60120000,5.074780000,15.0
51.60033000,5.075350000,17.0
51.59952000,5.076030000,15.0
51.59813000,5.077390000,11.0
51.59802000,5.077420000,10.0
51.59775000,5.077680000,10.0
51.59760000,5.077770000,9.0
51.59731000,5.078040000,9.0
51.59726000,5.078090000,9.0
51.59717000,5.078260000,10.0
51.59709000,5.078380000,11.0
51.59655000,5.078900000,14.0
51.59627000,5.079230000,13.0
51.59429000,5.081400000,16.0
51.59402000,5.081650000,16.0
51.59382000,5.081800000,17.0
51.59364000,5.081890000,17.0
51.59321000,5.081990000,14.0
51.59286000,5.081980000,13.0
51.59247000,5.081890000,12.0
51.59192000,5.081690000,12.0
51.59061000,5.081110000,13.0
51.59058000,5.081130000,13.0
51.59051000,5.081500000,13.0
51.58764000,5.080190000,17.0
51.58745000,5.080150000,17.0
51.58728000,5.080030000,17.0
51.58663000,5.079680000,17.0
51.58612000,5.079360000,15.0
51.58569000,5.079030000,15.0
51.58370000,5.077430000,16.0
51.58274000,5.076720000,14.0
51.58237000,5.076480000,16.0
51.58213000,5.076280000,16.0
51.58119000,5.076370000,16.0
51.58116000,5.075940000,15.0
51.58110000,5.075780000,15.0
51.58106000,5.075720000,15.0
51.58048000,5.075260000,14.0
51.58006000,5.076610000,12.0
51.57842000,5.077150000,14.0
51.57836000,5.076620000,13.0
51.57792000,5.076750000,12.0
51.57779000,5.076730000,12.0
51.57762000,5.075210000,15.0
51.57757000,5.074380000,16.0
51.57757000,5.073450000,12.0
51.57637000,5.073820000,15.0
51.57618000,5.073850000,16.0
51.57553000,5.074020000,13.0
51.57393000,5.073930000,14.0
51.57295000,5.073490000,12.0
51.57251000,5.073020000,13.0
51.57219000,5.072740000,13.0
51.57214000,5.072880000,13.0
51.57192000,5.073100000,12.0
51.57095000,5.073570000,14.0
51.57053000,5.073710000,15.0
51.56870000,5.074190000,15.0
51.56861000,5.074180000,15.0
51.56856000,5.074130000,16.0
51.56858000,5.073970000,16.0
51.56862000,5.073420000,15.0
51.56859000,5.073150000,15.0
51.56850000,5.073190000,15.0
51.56821000,5.073230000,15.0
51.56760000,5.073270000,17.0
51.56649000,5.073300000,19.0
51.56636000,5.073500000,18.0
51.56628000,5.073500000,17.0
51.56392000,5.073530000,16.0
51.56389000,5.073470000,16.0
51.56381000,5.073410000,16.0
51.56374000,5.073430000,16.0
51.56357000,5.073580000,16.0
51.56244000,5.074390000,15.0
51.56226000,5.074370000,15.0
51.56187000,5.074390000,18.0
51.56131000,5.074270000,16.0
51.56096000,5.074140000,14.0
51.56060000,5.074080000,13.0
51.56058000,5.074060000,13.0
51.56058000,5.074010000,13.0
51.56049000,5.074000000,13.0
51.56027000,5.074020000,14.0
51.56020000,5.074090000,14.0
51.56011000,5.074240000,15.0
51.56001000,5.074260000,15.0
51.55826000,5.074140000,15.0
51.55825000,5.073850000,16.0
51.55803000,5.073020000,16.0
51.55815000,5.071070000,18.0
51.55574000,5.070580000,17.0
51.55580000,5.069660000,18.0
51.55569000,5.069630000,18.0
51.55562000,5.070520000,17.0
51.55559000,5.070580000,17.0
51.55557000,5.070720000,17.0
